hours_of_sleep_last_night,steps_walked_today,typing_speed_wpm,eye_openness_percent,meetings_attended,snooze_count,last_meal_type,current_weather,outfit_choice,browser_tabs_open,Coffee_Needed_Level
7.0,17345,90,35,1,5,1,0,1,2,0
5.7,15328,111,62,1,2,3,3,2,2,1
7.3,6180,111,13,0,5,2,2,1,2,0
9.0,8597,12,94,4,5,3,0,0,2,0
5.5,18761,20,39,1,0,3,0,2,1,1
5.5,6223,32,100,1,4,1,0,3,1,0
9.2,11953,50,40,4,1,2,1,1,1,1
7.5,13581,119,83,6,0,1,3,1,0,2
5.1,10546,111,6,8,5,1,2,3,2,0
7.1,10170,118,15,8,1,3,0,0,1,0
5.1,14042,28,24,7,2,0,0,0,1,0
5.1,15750,116,74,3,2,2,3,3,2,1
6.5,6826,81,0,4,2,1,0,3,0,0
2.2,1852,62,1,7,4,3,2,2,0,0
2.6,14497,81,98,1,4,0,2,3,0,0
4.9,14212,91,42,9,4,1,0,2,0,0
4.0,18583,95,98,0,5,2,2,0,0,0
6.6,17625,53,35,4,4,0,2,0,2,0
4.2,9122,115,61,6,4,1,3,3,1,0
3.2,19309,16,37,3,5,2,0,3,1,0
8.9,725,62,65,5,0,3,0,2,1,1
5.5,16579,29,2,1,4,0,0,1,1,0
6.1,11347,18,13,4,5,2,2,1,1,0
3.2,228,73,69,1,4,1,2,3,1,0
4.9,19388,49,44,0,4,3,3,3,2,0
6.2,16325,52,5,8,4,0,3,3,0,0
3.7,15281,111,10,2,2,0,0,2,2,0
6.8,9408,76,28,2,2,2,3,1,1,0
4.8,3671,36,85,7,1,1,1,2,1,1
5.4,7747,40,37,5,1,1,2,2,0,1
4.8,7363,64,87,6,1,1,2,3,2,1
9.7,11091,119,0,4,5,1,2,0,2,0
6.0,13037,65,85,1,4,0,0,1,2,0
3.9,13365,55,13,8,3,2,1,0,0,0
7.6,7505,10,15,2,3,2,3,1,0,0
3.6,3006,85,68,1,1,0,0,1,2,0
6.4,2148,73,28,2,3,0,1,2,0,0
2.1,10429,84,61,1,4,1,0,1,0,0
3.3,17181,16,94,2,0,2,2,2,1,0
6.4,17826,53,57,1,0,0,3,2,1,1
7.5,19,50,30,5,5,3,3,3,1,0
6.3,7474,86,4,0,4,2,0,0,2,0
5.8,9057,54,61,8,4,2,3,3,1,0
5.4,9013,111,86,2,1,0,2,3,1,1
3.0,10864,56,1,8,4,1,2,2,1,0
4.6,3287,107,94,4,1,0,0,3,0,1
5.1,1424,38,19,2,2,2,1,1,1,0
