area,bedrooms,age,price,num_floors,zip_code,furnishing_status,property_type,green_area_percent
1660,2,18,335000,4,20001,0,3,34
4572,6,25,890000,5,20002,0,1,46
3892,5,10,804000,3,30002,2,1,37
1266,3,42,233000,1,40001,0,2,42
4244,6,31,870000,1,10005,0,0,24
3971,7,24,835000,5,30002,1,0,14
3719,4,31,732000,5,10004,2,1,23
930,2,33,138000,4,20002,0,0,34
2485,4,23,489000,1,10001,1,1,20
1569,2,47,196000,5,40001,1,3,34
3191,4,37,594000,4,10005,2,3,47
3233,3,39,637000,5,20002,0,3,37
1984,3,46,356000,5,10003,0,3,34
4185,6,39,868000,3,20002,1,3,23
4917,6,42,970000,3,30002,1,2,29
3704,6,32,803000,4,30002,0,3,30
1274,3,36,226000,3,10003,1,1,38
1882,2,39,370000,5,10001,2,0,25
3358,5,48,671000,2,30001,0,2,35
2847,5,28,589000,1,10002,1,3,7
3547,5,19,764000,1,30002,1,0,12
1775,4,22,394000,2,10005,2,3,48
2606,5,42,503000,3,20001,2,3,42
989,3,28,181000,3,20001,1,3,11
3534,5,36,714000,5,10002,0,0,32
3805,6,30,816000,1,40001,1,0,27
2699,2,49,500000,1,20002,0,1,20
2067,4,34,441000,1,10003,0,2,41
2328,5,36,470000,1,10004,0,1,20
4002,7,26,814000,1,10005,1,1,10
4356,8,29,872000,4,10001,0,2,19
4690,8,17,1008000,3,30002,0,3,34
1446,3,8,293000,1,30001,2,1,8
3688,6,4,810000,1,10002,0,0,29
3235,8,17,706000,1,30002,2,2,35
1400,3,0,298000,3,30001,2,2,20
3163,7,19,650000,3,10001,2,1,18
2861,4,13,580000,1,10004,0,1,37
1041,2,37,145000,5,30002,1,2,48
2841,5,47,523000,3,20001,2,3,17
3624,3,20,660000,2,10002,2,0,18
3412,5,6,667000,5,10005,2,3,15
2163,5,14,465000,3,30001,0,2,26
2278,3,4,530000,4,30002,2,0,21
3356,5,40,667000,5,10002,0,3,12
1575,1,47,259000,2,40001,2,3,14
4814,7,5,1054000,5,40001,0,3,11
834,1,47,110000,4,10003,1,0,15
3952,7,20,834000,5,10005,1,1,25
2755,5,0,566000,2,10003,2,0,13
2385,3,37,450000,4,20001,2,2,19
4743,6,4,987000,4,40001,2,2,13
3873,7,9,827000,2,30002,2,3,28
1821,2,47,300000,2,10002,2,2,35
4261,7,2,906000,2,40001,2,0,12
3413,5,35,674000,5,30002,0,3,40
4643,8,41,951000,4,20001,2,0,35
2300,4,8,464000,1,10001,2,0,19
961,2,26,166000,2,20001,0,1,10
2781,3,8,571000,2,10004,1,3,30
1795,2,21,351000,3,10003,0,3,11
4142,5,42,844000,4,40001,2,0,22
4598,7,37,960000,2,10003,2,3,46
2075,4,15,459000,1,10003,0,3,48
1816,2,31,355000,5,10004,0,1,50
1137,1,26,268000,5,20001,1,2,23
1678,3,7,359000,5,20002,0,1,40
1876,5,22,366000,3,10005,1,1,20
4793,8,21,1052000,2,20002,1,2,32
1179,2,33,210000,2,10003,0,2,17
1292,2,14,299000,1,30001,1,3,50
2862,5,41,556000,3,10001,2,3,25
4684,8,36,1002000,2,30002,1,0,31
864,3,47,192000,2,10004,0,1,7
3368,5,5,680000,4,10004,0,0,29
2827,6,2,600000,4,10002,1,1,40
3495,7,16,764000,5,20001,2,0,15
2295,5,44,467000,3,10005,0,3,19
1191,1,47,181000,5,30001,0,0,50
4361,7,5,939000,5,10001,1,2,50
3078,5,15,623000,4,10002,1,2,5
3899,6,26,831000,5,40001,0,2,33
1000,2,12,233000,2,10002,2,2,20
3904,5,15,825000,4,10004,2,3,23
3254,3,35,594000,2,30002,0,0,6
4445,7,36,910000,1,20001,2,1,46
1604,2,30,292000,2,30002,1,0,28
3531,6,3,760000,4,10004,0,3,8
3573,5,20,695000,4,10003,1,2,43
2370,5,0,510000,2,10002,0,1,35
3490,7,14,751000,5,20002,1,0,34
4640,7,45,934000,5,10005,1,0,36
1828,3,19,365000,3,10002,0,2,47
1302,2,3,262000,5,20002,2,3,20
1670,4,27,337000,4,20002,2,0,45
1006,2,41,136000,3,10004,0,3,9
2284,4,5,500000,5,20001,1,1,31
1663,2,36,312000,1,40001,1,0,34
3590,6,2,754000,4,10005,1,2,10
1363,4,45,267000,5,10003,2,2,25
4991,7,15,1027000,1,10001,1,0,34
2557,4,22,523000,5,10003,2,3,13
2478,5,27,525000,3,10005,0,1,34
4042,7,2,874000,3,30002,0,2,12
1859,4,44,332000,4,40001,0,0,24
2522,5,31,508000,2,20001,0,1,10
4114,7,35,858000,2,10001,1,1,9
3957,9,13,871000,1,10003,2,2,48
3425,6,1,732000,5,30001,1,2,47
3529,6,16,731000,4,10001,1,3,20
2397,5,34,477000,3,10003,2,3,20
3860,6,35,801000,1,20002,1,3,48
3493,8,40,727000,2,20002,1,1,8
4427,6,24,904000,2,10001,0,1,27
2163,4,36,410000,5,30001,1,1,5
2781,3,39,494000,5,40001,0,2,39
2463,4,36,534000,4,10002,2,1,42
2329,3,30,443000,1,10001,0,3,35
2838,5,17,575000,5,10005,2,2,23
4102,5,16,879000,1,10003,2,1,10
3037,6,45,588000,4,10004,2,1,13
2106,3,47,388000,3,20002,0,3,10
4829,8,6,1033000,5,30001,1,3,23
3475,5,40,678000,2,10003,1,3,35
2082,5,38,422000,3,10005,1,1,43
1509,3,21,310000,3,10002,2,0,33
4548,6,20,915000,4,20001,2,0,25
1463,1,44,230000,2,10001,1,3,19
2798,3,32,558000,1,10002,2,1,49
4245,7,40,871000,4,10001,0,3,32
4543,5,17,928000,4,20001,0,1,5
2295,5,30,440000,5,20001,1,0,42
4104,6,7,902000,5,10004,1,3,49
4563,7,6,991000,4,20001,0,1,44
2653,5,5,638000,3,30002,0,2,47
2091,5,23,435000,4,30001,2,1,33
4381,5,6,932000,5,10001,2,1,27
4257,5,39,850000,5,10005,0,1,20
2436,4,36,436000,3,10003,1,1,32
4496,8,28,944000,3,10003,1,0,35
3799,6,22,740000,4,30002,2,1,43
3952,7,45,772000,3,30002,2,1,35
1498,1,10,301000,1,20002,2,1,36
2960,4,25,593000,2,30002,1,0,6
4897,7,39,919000,3,20001,2,0,44
1654,2,8,343000,2,10003,0,0,30
4274,5,0,876000,4,10003,1,1,26
2507,3,28,506000,1,40001,2,2,42
3577,5,41,701000,5,10005,0,3,34
2533,3,27,526000,1,10005,0,2,15
4310,8,34,851000,2,10003,1,2,19
1002,2,18,147000,3,20001,1,0,39
4055,6,14,877000,4,30002,0,3,40
1566,3,30,330000,3,10003,0,3,8
3127,6,14,727000,1,30002,1,0,32
3731,8,38,777000,4,30002,2,0,49
997,2,45,158000,4,10005,1,0,45
2730,5,39,545000,1,10002,1,3,22
4382,6,47,884000,4,30002,1,1,18
1408,4,22,289000,1,10002,1,2,43
4072,8,25,809000,4,20002,1,2,38
1947,3,29,366000,5,40001,1,0,50
4197,7,43,833000,5,10004,1,2,11
3311,5,24,662000,4,40001,0,1,41
2594,5,13,568000,5,40001,0,1,12
1459,2,46,287000,3,10002,0,3,11
3611,4,28,718000,3,40001,1,2,49
2169,4,16,422000,1,10003,1,0,10
2786,6,12,591000,5,20001,2,1,33
946,3,27,150000,1,40001,2,0,41
4019,7,40,812000,4,10001,2,0,12
3711,5,21,719000,5,20002,0,3,43
2534,4,13,516000,5,10001,1,1,37
2643,3,42,514000,2,10001,2,2,37
1288,1,18,240000,1,30002,1,3,25
3776,7,36,783000,1,20002,1,3,11
2759,4,0,604000,3,10002,1,1,7
3185,7,29,638000,1,20002,1,0,20
3719,6,37,746000,1,10003,1,2,42
2602,4,35,535000,4,20001,1,0,15
4861,7,41,986000,3,30001,0,0,45
4169,7,3,908000,5,30002,2,1,23
1062,2,16,201000,3,20001,1,3,22
1423,3,0,292000,5,10001,2,0,32
1816,4,27,359000,5,30002,2,1,50
4443,5,16,921000,5,20001,0,1,45
2849,5,20,589000,2,40001,2,3,33
4523,7,4,964000,2,40001,1,2,45
3908,6,28,796000,2,40001,1,3,33
4890,8,26,1035000,4,30001,0,1,9
2856,4,22,573000,4,30002,0,0,9
3970,6,46,761000,3,40001,2,0,19
2482,3,39,454000,1,20002,1,0,23
3055,7,0,706000,3,10003,2,0,36
1954,5,6,436000,2,10002,0,1,22
3991,6,28,788000,4,10004,0,3,50
2496,4,30,503000,5,10002,2,2,20
4791,5,48,916000,4,10005,0,2,27
2448,5,9,527000,4,40001,1,0,9
2245,3,41,443000,3,20001,1,2,39
4999,6,15,1018000,4,20001,2,0,33
4723,7,14,966000,5,30002,1,1,11
1053,1,31,185000,1,10003,0,1,7
3983,5,9,830000,5,10002,2,0,35
3357,6,26,695000,1,10004,0,1,32
898,4,5,240000,5,10002,0,1,5
3000,5,34,583000,2,10002,2,1,44
3761,7,11,812000,3,30001,0,1,42
4577,6,13,961000,4,20002,1,1,49
3669,6,42,697000,5,10005,0,0,20
4034,6,7,872000,3,10004,0,3,22
4591,7,10,984000,1,20002,0,0,39
1756,2,18,339000,3,20001,1,1,20
4867,5,41,986000,5,10002,2,2,41
960,4,6,176000,5,10002,0,1,10
2100,3,25,400000,3,10002,2,2,33
4787,5,15,1001000,2,10003,0,1,7
2327,4,25,452000,2,10001,2,0,12
2018,4,7,409000,2,10003,1,0,13
3904,6,13,830000,5,10001,0,3,22
3535,6,16,719000,2,30001,2,2,48
1754,3,19,367000,3,10003,0,0,48
4246,6,49,858000,1,30001,2,2,16
1845,3,35,341000,1,10003,0,0,24
2493,4,22,501000,5,30001,1,1,39
4236,6,11,875000,3,40001,0,2,45
1362,3,30,256000,2,10004,1,3,35
3285,6,22,673000,4,10001,0,3,44
4154,6,45,854000,4,10002,2,0,47
1025,3,38,211000,4,10001,0,1,44
1759,4,18,361000,1,20001,2,1,11
3867,7,38,808000,1,10004,1,3,19
1615,3,41,303000,4,20001,0,3,5
3920,7,47,761000,1,30002,1,0,49
816,1,42,81000,4,10004,1,1,31
2043,2,14,397000,4,10003,2,3,48
3005,6,9,625000,5,30002,1,2,48
3324,5,47,651000,2,10003,2,1,48
1869,2,17,380000,5,10003,1,3,13
