current_time,fridge_item_count,last_meal_hour,stress_level,snack_type_preference,screen_time_today,snack_choice
0.24,3,7.7,3,0,4.9,1
3.69,2,4.9,1,1,14,1
2.38,19,2,2,0,7,1
1.59,5,3.8,1,3,8.7,1
22.93,14,6.8,3,1,12.5,2
22.93,2,7.8,0,1,7.1,1
22.35,16,6.8,2,0,4.6,1
3.19,1,3.5,1,1,2.9,1
1.6,15,1.1,2,3,3.1,2
2.24,16,2.2,1,3,9.1,1
22.12,10,1.3,0,0,7,1
3.81,3,6.8,0,2,12.3,1
2.99,11,3.1,2,2,10.7,1
23.27,7,5.9,0,1,5.5,1
23.09,2,3.9,1,0,8.2,2
23.1,10,2.9,1,2,7.1,2
23.82,12,4.7,2,1,6.8,2
1.14,8,4.4,1,2,3.3,1
0.59,14,6.8,2,3,5.9,2
23.74,11,5.9,0,1,6.4,1
1.66,9,3.2,2,2,12.2,1
22.84,3,6.6,2,1,13,2
23.75,6,5.2,0,0,1.6,2
0.19,8,3.4,1,2,4,1
0.73,5,6.7,1,3,3.2,1
2.7,6,3.6,3,0,4.5,1
23.2,16,1.4,1,2,14.3,1
1.08,3,7.2,2,0,2,1
1.55,1,4.1,0,3,5.6,1
22.28,16,3.3,3,0,8.4,1
1.64,6,7.4,0,2,14.6,1
23.02,10,2.8,1,2,13.9,1
22.39,19,7.8,1,1,11.6,2
3.68,17,1.2,1,0,1.8,2
3.78,6,5.7,2,1,10.7,1
2.84,17,1.4,1,1,5.1,1
23.82,18,1.6,0,1,5.8,1
22.59,13,7.7,0,0,8.5,1
2.1,7,7.4,1,0,14.4,1
0.64,6,6.9,3,3,7.3,1
22.73,0,5.8,1,0,11.8,1
0.97,5,4.3,1,1,11.9,2
22.21,3,5.7,1,0,14,1
3.45,15,4.9,2,2,13.2,2
23.55,14,7,0,3,3.6,1
1.97,17,6.2,0,3,3,1
23.87,17,5.8,3,1,2.8,2
1.12,7,2.4,2,0,9.3,1
1.27,9,5.6,0,0,13.2,1
23.11,4,4.4,2,2,14.4,2
3.81,6,6.4,0,2,3.5,1
2.64,16,4.2,1,2,11.2,2
3.63,5,4.5,1,0,12.1,1
3.36,10,3.9,2,3,6.9,2
1.58,9,7.9,2,2,5.4,2
3.52,6,5.2,3,3,10.3,2
22.53,6,7.4,0,2,5.8,1
23.17,9,7.1,2,0,3.8,1
22.27,12,6.3,1,3,10.5,2
23.95,2,4.5,0,0,2,1
0.33,8,4.8,2,3,9.8,2
23.63,4,7.5,1,2,9.8,2
2.96,15,2.6,2,1,3.9,2
0.14,10,6.5,2,2,10.5,2
23.68,17,3.1,2,0,10,1
1.25,14,1.4,2,3,9.6,2
22.84,4,3.8,2,1,8,1
2.81,7,4.7,2,2,2.3,2
22.45,7,1.9,2,2,2.1,1
3.91,18,6.2,1,0,14,1
2.63,4,6.2,3,2,11.3,1
23.19,3,6.1,3,2,13.8,1
22.03,19,3.2,1,3,7.9,2
2.88,17,4.5,2,2,2.4,1
2.23,11,2.2,2,3,6.2,1
2.37,0,4.1,1,2,2.6,1
2.62,7,7.7,1,2,14.2,1
22.44,8,3.1,1,3,2.6,2
0.15,12,1.3,3,2,14.7,1
22.69,0,3.2,3,3,6.8,1
3.17,5,6.8,2,0,6.5,2
1.73,0,7.3,2,3,9.7,2
23.98,13,1.1,3,2,1.9,1
22.38,4,4.4,1,0,12.2,2
23.86,12,7.6,0,1,2.8,2
23.95,4,1.9,3,1,12.2,2
2.37,14,1.4,1,3,13.4,2
1.82,2,6.3,1,1,13.3,2
3.31,3,5.5,2,3,1.9,1
0.83,2,6,3,0,2.8,2
22.72,19,2.9,0,2,4.9,2
2.27,11,3.8,1,2,3.7,2
2.56,13,5,2,2,2.3,2
1.36,5,6.3,3,1,14.7,2
2.62,18,3.2,2,2,5.1,1
0.96,4,3.8,1,1,6.3,2
1.13,16,4.8,0,3,12.4,2
0.56,18,1,0,1,12.1,2
22.15,17,6.9,3,2,6.6,1
22.65,11,5.4,2,3,7,1
22.19,17,1.6,2,1,12.1,1
1.81,4,3.5,3,0,11.9,2
23.88,12,2.3,1,2,7,1
1.05,3,1.3,1,2,7.7,1
3.44,17,3.2,0,3,13.6,1
23.49,19,7.1,2,0,12,1
0.46,8,1.5,2,1,9.1,1
2.53,1,7.1,3,1,5.6,2
23.37,9,2.5,2,2,13.3,1
22.46,12,7.7,1,0,1,1
23.74,5,2.5,2,3,6.6,1
22.97,19,7,1,1,7.9,2
3.57,7,7.4,0,3,7.8,1
2.84,12,7.5,1,3,3.2,1
1.79,3,1.9,2,1,6.7,1
3.22,18,5.7,0,1,11,1
2.81,6,6.8,1,1,8.3,2
23.12,14,6.2,3,0,13.9,2
3.35,4,4.3,0,3,6.1,1
1.23,16,7.6,3,0,13.5,1
2.84,18,2.3,0,2,9.3,1
3.37,4,7.1,0,2,12.5,1
23.9,10,2.7,0,1,11.5,1
22.66,3,4.2,3,2,12.8,1
23.37,13,4.2,2,2,11.6,2
0.56,3,3,2,3,4.7,1
