year,store_id,product_id,promotion,holiday,weekday,month,price_level,stock_level,sales_class
2000,52,207,0,0,5,1,4,577,0
2000,93,341,1,1,6,1,1,738,2
2000,15,192,0,1,0,1,1,836,1
2000,72,407,0,0,1,1,4,53,0
2000,61,341,1,0,2,1,4,399,0
2000,21,306,1,0,3,1,4,498,0
2000,83,398,0,1,4,1,4,903,0
2000,87,469,0,1,5,1,2,533,2
2000,75,252,1,1,6,1,1,142,2
2000,75,204,1,0,0,1,4,632,0
2000,88,362,1,1,1,1,4,155,1
2000,100,46,1,1,2,1,1,412,1
2000,24,374,0,1,3,1,5,31,0
2000,3,495,0,1,4,1,4,492,0
2000,22,261,0,0,5,1,3,783,0
2000,53,66,0,0,6,1,2,32,0
2000,2,150,0,0,0,1,5,978,0
2000,88,70,0,1,1,1,5,931,0
2000,30,364,0,1,2,1,1,166,0
2000,38,2,0,0,3,1,2,433,0
2000,2,29,1,0,4,1,3,963,0
2000,64,256,1,1,5,1,2,866,2
2000,60,61,0,1,6,1,5,525,0
2000,21,100,1,1,0,1,5,806,1
2000,33,384,0,1,1,1,2,984,1
2000,76,455,0,0,2,1,1,198,0
2000,58,144,1,1,3,1,1,531,1
2000,22,192,0,0,4,1,5,561,0
2000,89,353,1,0,5,1,3,678,1
2000,49,353,0,0,6,1,5,775,0
2000,91,270,0,1,0,1,2,890,1
2000,59,299,1,1,1,2,4,29,1
2000,42,460,1,0,2,2,4,758,0
2000,92,427,0,1,3,2,3,851,1
2000,60,326,1,0,4,2,3,230,0
2000,80,311,1,0,5,2,3,659,1
2000,15,204,1,1,6,2,1,539,2
2000,62,245,1,1,0,2,5,837,1
2000,62,31,1,0,1,2,2,949,0
2000,47,332,0,1,2,2,5,456,0
2000,62,458,0,0,3,2,2,915,0
2000,51,424,1,1,4,2,4,662,1
2000,55,411,1,1,5,2,5,470,2
2000,64,52,0,1,6,2,2,584,2
2000,3,384,1,1,0,2,2,550,1
2000,51,243,1,0,1,2,4,289,0
2000,7,263,1,0,2,2,5,149,0
2000,21,174,0,0,3,2,5,599,0
2000,73,100,0,1,4,2,1,824,1
2000,39,417,0,1,5,2,5,174,0
2000,18,475,1,0,6,2,4,529,0
2000,4,392,1,0,0,2,2,263,1
2000,89,389,0,0,1,2,4,316,0
2000,60,61,1,1,2,2,4,468,1
2000,14,456,1,0,3,2,4,413,0
2000,9,360,1,0,4,2,5,121,0
2000,90,188,0,0,5,2,3,432,0
2000,53,469,1,1,6,2,4,199,1
2000,2,408,0,1,0,2,2,446,1
