year,store_id,product_id,promotion,holiday,weekday,month,price_level,stock_level,total_sales
2000,52,207,0,0,5,1,4,577,88
2000,93,341,1,1,6,1,1,738,186
2000,15,192,0,1,0,1,1,836,137
2000,72,407,0,0,1,1,4,53,68
2000,61,341,1,0,2,1,4,399,95
2000,21,306,1,0,3,1,4,498,83
2000,83,398,0,1,4,1,4,903,118
2000,87,469,0,1,5,1,2,533,167
2000,75,252,1,1,6,1,1,142,192
2000,75,204,1,0,0,1,4,632,114
2000,88,362,1,1,1,1,4,155,139
2000,100,46,1,1,2,1,1,412,150
2000,24,374,0,1,3,1,5,31,82
2000,3,495,0,1,4,1,4,492,113
2000,22,261,0,0,5,1,3,783,92
2000,53,66,0,0,6,1,2,32,104
2000,2,150,0,0,0,1,5,978,58
2000,88,70,0,1,1,1,5,931,93
2000,30,364,0,1,2,1,1,166,115
2000,38,2,0,0,3,1,2,433,106
2000,2,29,1,0,4,1,3,963,113
2000,64,256,1,1,5,1,2,866,211
2000,60,61,0,1,6,1,5,525,114
2000,21,100,1,1,0,1,5,806,152
2000,33,384,0,1,1,1,2,984,139
2000,76,455,0,0,2,1,1,198,86
2000,58,144,1,1,3,1,1,531,157
2000,22,192,0,0,4,1,5,561,75
2000,89,353,1,0,5,1,3,678,122
2000,49,353,0,0,6,1,5,775,102
2000,91,270,0,1,0,1,2,890,153
2000,59,299,1,1,1,2,4,29,144
2000,42,460,1,0,2,2,4,758,95
2000,92,427,0,1,3,2,3,851,135
2000,60,326,1,0,4,2,3,230,101
2000,80,311,1,0,5,2,3,659,154
2000,15,204,1,1,6,2,1,539,206
2000,62,245,1,1,0,2,5,837,132
2000,62,31,1,0,1,2,2,949,109
2000,47,332,0,1,2,2,5,456,106
2000,62,458,0,0,3,2,2,915,110
2000,51,424,1,1,4,2,4,662,136
2000,55,411,1,1,5,2,5,470,171
2000,64,52,0,1,6,2,2,584,165
2000,3,384,1,1,0,2,2,550,147
2000,51,243,1,0,1,2,4,289,110
2000,7,263,1,0,2,2,5,149,87
2000,21,174,0,0,3,2,5,599,64
2000,73,100,0,1,4,2,1,824,146
2000,39,417,0,1,5,2,5,174,111
2000,18,475,1,0,6,2,4,529,119
2000,4,392,1,0,0,2,2,263,126
2000,89,389,0,0,1,2,4,316,59
2000,60,61,1,1,2,2,4,468,150
2000,14,456,1,0,3,2,4,413,103
2000,9,360,1,0,4,2,5,121,79
2000,90,188,0,0,5,2,3,432,84
2000,53,469,1,1,6,2,4,199,156
2000,2,408,0,1,0,2,2,446,131
2000,84,7,1,0,1,2,1,944,142
2000,92,189,1,1,2,3,5,554,112
2000,60,83,1,1,3,3,3,92,154
2000,71,351,0,0,4,3,3,144,60
2000,44,420,1,1,5,3,4,839,184
2000,8,283,1,1,6,3,2,426,188
2000,47,124,0,0,0,3,1,950,128
2000,35,157,1,0,1,3,3,445,93
2000,78,87,1,0,2,3,5,756,86
2000,81,148,1,1,3,3,2,277,143
2000,36,70,0,0,4,3,5,272,44
2000,50,460,0,0,5,3,4,249,89
2000,4,370,0,1,6,3,1,67,151
2000,2,76,1,1,0,3,5,147,138
2000,6,114,1,1,1,3,1,924,174
2000,54,3,0,1,2,3,5,685,117
2000,4,234,0,1,3,3,3,397,110
2000,54,167,0,1,4,3,3,414,126
2000,93,99,0,1,5,3,4,30,116
2000,63,124,0,1,6,3,2,770,172
2000,18,467,0,1,0,3,1,990,151
2000,90,45,0,0,1,3,2,533,73
2000,44,382,1,1,2,3,2,125,167
2000,34,324,1,0,3,3,2,180,103
2000,74,287,0,1,4,3,2,565,141
2000,62,106,1,0,5,3,2,26,134
2000,100,294,0,1,6,3,5,927,124
2000,14,481,1,0,0,3,2,471,102
2000,95,134,1,1,1,3,1,286,159
2000,48,8,0,1,2,3,3,991,119
2000,15,28,1,0,3,3,2,883,140
2000,72,271,1,0,4,3,4,678,85
2000,78,223,1,1,5,4,1,957,222
2000,87,8,1,1,6,4,5,568,167
2000,62,310,0,1,0,4,3,322,124
2000,40,134,0,1,1,4,3,102,112
2000,85,29,1,1,2,4,3,829,154
2000,80,115,1,1,3,4,4,346,149
2000,82,494,0,1,4,4,2,288,139
2000,53,34,1,1,5,4,5,59,143
2000,24,7,0,0,6,4,5,413,74
2000,26,40,1,0,0,4,5,396,81
2000,89,330,1,0,1,4,2,147,101
2000,60,397,1,1,2,4,5,455,129
2000,41,62,0,1,3,4,5,647,83
2000,29,86,1,0,4,4,3,482,107
2000,15,213,0,0,5,4,2,75,101
2000,45,116,0,1,6,4,1,404,180
2000,65,65,0,1,0,4,1,140,146
2000,89,297,0,1,1,4,1,757,159
2000,71,379,1,0,2,4,4,29,74
2000,9,170,0,0,3,4,3,477,64
2000,88,116,0,0,4,4,5,560,79
2000,1,322,0,1,5,4,3,185,131
2000,8,116,0,1,6,4,2,813,168
2000,88,221,1,0,0,4,2,1,98
2000,63,395,0,1,1,4,3,914,137
2000,11,357,0,0,2,4,2,794,112
2000,81,50,0,0,3,4,3,134,74
2000,8,327,0,1,4,4,3,689,106
2000,35,419,1,1,5,4,3,218,183
2000,35,478,0,1,6,4,1,308,165
2000,33,336,1,1,0,5,5,73,135
2000,5,79,0,0,1,5,2,808,109
2000,41,488,1,0,2,5,5,139,64
2000,28,20,0,0,3,5,5,400,76
2000,7,412,0,0,4,5,3,967,91
2000,73,379,0,1,5,5,5,823,119
2000,72,37,0,0,6,5,3,588,109
2000,12,259,1,0,0,5,2,119,112
2000,34,93,0,0,1,5,4,532,74
2000,33,187,1,0,2,5,5,507,91
2000,48,357,0,1,3,5,5,840,92
2000,23,201,0,0,4,5,5,740,71
2000,62,411,1,1,5,5,3,269,156
2000,88,288,0,1,6,5,1,363,176
2000,37,48,1,0,0,5,3,21,97
2000,99,253,0,1,1,5,3,904,132
2000,44,46,0,1,2,5,3,5,119
2000,86,370,1,0,3,5,2,924,116
2000,91,231,0,0,4,5,2,121,67
2000,35,95,1,1,5,5,4,683,167
2000,65,303,0,0,6,5,5,15,72
2000,99,218,0,1,0,5,4,737,122
2000,47,40,1,1,1,5,1,299,145
2000,78,387,0,0,2,5,2,796,112
2000,3,203,0,0,3,5,3,532,85
2000,1,116,1,0,4,5,2,577,109
2000,5,413,1,0,5,5,2,583,129
2000,90,91,0,1,6,5,1,291,174
2000,14,58,1,1,0,5,1,130,174
2000,27,434,1,1,1,5,5,952,135
2000,9,495,1,1,2,5,2,752,146
2000,79,10,0,0,3,6,1,816,95
2000,15,256,0,1,4,6,4,40,119
2000,90,317,0,1,5,6,2,740,161
2000,42,249,1,1,6,6,3,603,161
2000,77,483,0,1,0,6,5,433,95
2000,51,367,0,0,1,6,2,13,62
2000,63,377,0,0,2,6,5,918,69
2000,96,317,0,0,3,6,5,623,61
2000,52,407,0,1,4,6,1,833,126
2000,96,6,1,1,5,6,1,679,210
